I1019 21:50:24.517382       1 request.go:589] Waited for 1.046152537s due to client-side throttling, not priority and fairness, request: GET:https://10.0.0.1:443/apis/events.k8s.io/v1beta1?timeout=32s
I1019 21:50:25.566917       1 request.go:589] Waited for 2.095663395s due to client-side throttling, not priority and fairness, request: GET:https://10.0.0.1:443/apis/network.azure.com/v1beta20201101?timeout=32s
I1019 21:50:26.567293       1 request.go:589] Waited for 3.095973733s due to client-side throttling, not priority and fairness, request: GET:https://10.0.0.1:443/apis/cache.azure.com/v1alpha1api20210301storage?timeout=32s
I1019 21:50:27.617286       1 request.go:589] Waited for 4.145888995s due to client-side throttling, not priority and fairness, request: GET:https://10.0.0.1:443/apis/servicebus.azure.com/v1beta20210101preview?timeout=32s
I1019 21:50:28.667121       1 request.go:589] Waited for 5.195654155s due to client-side throttling, not priority and fairness, request: GET:https://10.0.0.1:443/apis/dbformysql.azure.com/v1alpha1api20210501storage?timeout=32s
I1019 21:50:30.216609       1 request.go:589] Waited for 1.038455744s due to client-side throttling, not priority and fairness, request: GET:https://10.0.0.1:443/apis/cache.azure.com/v1alpha1api20210301?timeout=32s
I1019 21:50:31.216801       1 request.go:589] Waited for 2.038596315s due to client-side throttling, not priority and fairness, request: GET:https://10.0.0.1:443/apis/coordination.k8s.io/v1?timeout=32s
I1019 21:50:32.216915       1 request.go:589] Waited for 3.038648993s due to client-side throttling, not priority and fairness, request: GET:https://10.0.0.1:443/apis/snapshot.storage.k8s.io/v1beta1?timeout=32s
I1019 21:50:33.217448       1 request.go:589] Waited for 4.039064073s due to client-side throttling, not priority and fairness, request: GET:https://10.0.0.1:443/apis/dbforpostgresql.azure.com/v1beta20210601?timeout=32s
I1019 21:50:34.267485       1 request.go:589] Waited for 5.089091069s due to client-side throttling, not priority and fairness, request: GET:https://10.0.0.1:443/apis/containerregistry.azure.com/v1beta20210901storage?timeout=32s
I1019 21:50:35.316854       1 request.go:589] Waited for 6.138397261s due to client-side throttling, not priority and fairness, request: GET:https://10.0.0.1:443/apis/keyvault.azure.com/v1beta20210401preview?timeout=32s
I1019 23:16:58.227650       1 common.go:55] controllers/VirtualMachineScaleSetController "msg"="Reconcile invoked" "name"="iacvmss" "namespace"="vmss" "annotations"={"serviceoperator.azure.com/operator-namespace":"azureserviceoperator-system","serviceoperator.azure.com/resource-id":"/subscriptions/d19dddf3-9520-4226-a313-ae8ee08675e5/resourceGroups/aso-vmss-rg/providers/Microsoft.Compute/virtualMachineScaleSets/iacvmss"} "conditions"="[Condition [Ready], Status = \"False\", ObservedGeneration = 4, Severity = \"Warning\", Reason = \"PlatformImageNotFound\", Message = \"The platform image 'Canonical:UbuntuServer:20.04-lts:latest' is not available. Verify that all fields in the storage profile are correct. For more details about storage profile information, please refer to https://aka.ms/storageprofile: PUT https://management.azure.com/subscriptions/d19dddf3-9520-4226-a313-ae8ee08675e5/resourceGroups/aso-vmss-rg/providers/Microsoft.Compute/virtualMachineScaleSets/iacvmss\\n--------------------------------------------------------------------------------\\nRESPONSE 404: 404 Not Found\\nERROR CODE: PlatformImageNotFound\\n--------------------------------------------------------------------------------\\n{\\n  \\\"error\\\": {\\n    \\\"code\\\": \\\"PlatformImageNotFound\\\",\\n    \\\"message\\\": \\\"The platform image 'Canonical:UbuntuServer:20.04-lts:latest' is not available. Verify that all fields in the storage profile are correct. For more details about storage profile information, please refer to https://aka.ms/storageprofile\\\",\\n    \\\"target\\\": \\\"imageReference\\\"\\n  }\\n}\\n--------------------------------------------------------------------------------\\n\", LastTransitionTime = \"2022-10-19 23:06:32 +0000 UTC\"]" "creationTimestamp"="2022-10-19T22:39:53Z" "finalizers"=["serviceoperator.azure.com/finalizer"] "generation"=4 "kind"={"kind":"VirtualMachineScaleSet","apiVersion":"compute.azure.com/v1beta20220301storage"} "owner"={"group":"resources.azure.com","kind":"ResourceGroup","name":"aso-vmss-rg"} "ownerReferences"=[{"apiVersion":"resources.azure.com/v1beta20200601","kind":"ResourceGroup","name":"aso-vmss-rg","uid":"50697468-3025-448a-8064-c8e7950eff07"}] "resourceVersion"="29844" "uid"="cfdf478a-8612-427f-a85f-3c1ce090a8f3"
I1019 23:16:58.227695       1 azure_generic_arm_reconciler_instance.go:67] controllers/VirtualMachineScaleSetController "msg"="Determined CreateOrUpdate action" "azureName"="iacvmss" "name"="iacvmss" "namespace"="vmss" "action"="BeginCreateOrUpdate"
I1019 23:16:58.227940       1 azure_generic_arm_reconciler_instance.go:258] controllers/VirtualMachineScaleSetController "msg"="About to send resource to Azure" "azureName"="iacvmss" "name"="iacvmss" "namespace"="vmss" 
2022/10/19 23:16:58 http: TLS handshake error from 10.244.0.6:59590: EOF
I1019 23:16:58.268945       1 http.go:97] controller-runtime/webhook/webhooks "msg"="received request" "webhook"="/mutate-resources-azure-com-v1alpha1api20200601-resourcegroup" "UID"="6d16eeb7-3076-43fb-9643-258bb0cf2ad3" "kind"={"group":"resources.azure.com","version":"v1alpha1api20200601","kind":"ResourceGroup"} "resource"={"group":"resources.azure.com","version":"v1alpha1api20200601","resource":"resourcegroups"}
I1019 23:16:58.269194       1 http.go:136] controller-runtime/webhook/webhooks "msg"="wrote response" "code"=200 "reason"="" "webhook"="/mutate-resources-azure-com-v1alpha1api20200601-resourcegroup" "UID"="6d16eeb7-3076-43fb-9643-258bb0cf2ad3" "allowed"=true
2022/10/19 23:16:58 http: TLS handshake error from 10.244.0.6:59592: EOF
2022/10/19 23:16:58 http: TLS handshake error from 10.244.0.6:59604: EOF
I1019 23:16:58.318804       1 http.go:97] controller-runtime/webhook/webhooks "msg"="received request" "webhook"="/mutate-network-azure-com-v1beta20201101-virtualnetworkssubnet" "UID"="07553826-7579-4756-9776-4958737eb6f7" "kind"={"group":"network.azure.com","version":"v1beta20201101","kind":"VirtualNetworksSubnet"} "resource"={"group":"network.azure.com","version":"v1beta20201101","resource":"virtualnetworkssubnets"}
I1019 23:16:58.319078       1 http.go:136] controller-runtime/webhook/webhooks "msg"="wrote response" "code"=200 "reason"="" "webhook"="/mutate-network-azure-com-v1beta20201101-virtualnetworkssubnet" "UID"="07553826-7579-4756-9776-4958737eb6f7" "allowed"=true
I1019 23:16:58.330850       1 http.go:97] controller-runtime/webhook/webhooks "msg"="received request" "webhook"="/validate-network-azure-com-v1beta20201101-virtualnetworkssubnet" "UID"="4f763745-68ea-4bcc-a8e2-148b1fd98fcf" "kind"={"group":"network.azure.com","version":"v1beta20201101","kind":"VirtualNetworksSubnet"} "resource"={"group":"network.azure.com","version":"v1beta20201101","resource":"virtualnetworkssubnets"}
I1019 23:16:58.331224       1 http.go:136] controller-runtime/webhook/webhooks "msg"="wrote response" "code"=200 "reason"="" "webhook"="/validate-network-azure-com-v1beta20201101-virtualnetworkssubnet" "UID"="4f763745-68ea-4bcc-a8e2-148b1fd98fcf" "allowed"=true
2022/10/19 23:16:58 http: TLS handshake error from 10.244.0.5:52246: EOF
2022/10/19 23:16:58 http: TLS handshake error from 10.244.0.5:52236: EOF
2022/10/19 23:16:58 http: TLS handshake error from 10.244.0.6:59612: EOF
2022/10/19 23:16:58 http: TLS handshake error from 10.244.0.5:52262: EOF
I1019 23:16:58.420359       1 http.go:97] controller-runtime/webhook/webhooks "msg"="received request" "webhook"="/mutate-compute-azure-com-v1beta20201201-virtualmachinescaleset" "UID"="19ff8f25-3e35-41f3-8557-301a24fedc44" "kind"={"group":"compute.azure.com","version":"v1beta20201201","kind":"VirtualMachineScaleSet"} "resource"={"group":"compute.azure.com","version":"v1beta20201201","resource":"virtualmachinescalesets"}
I1019 23:16:58.420960       1 http.go:136] controller-runtime/webhook/webhooks "msg"="wrote response" "code"=200 "reason"="" "webhook"="/mutate-compute-azure-com-v1beta20201201-virtualmachinescaleset" "UID"="19ff8f25-3e35-41f3-8557-301a24fedc44" "allowed"=true
I1019 23:16:58.434555       1 http.go:97] controller-runtime/webhook/webhooks "msg"="received request" "webhook"="/validate-compute-azure-com-v1beta20201201-virtualmachinescaleset" "UID"="15a48bf0-f068-45c9-9198-e7b57b09215f" "kind"={"group":"compute.azure.com","version":"v1beta20201201","kind":"VirtualMachineScaleSet"} "resource"={"group":"compute.azure.com","version":"v1beta20201201","resource":"virtualmachinescalesets"}
I1019 23:16:58.435117       1 http.go:136] controller-runtime/webhook/webhooks "msg"="wrote response" "code"=200 "reason"="" "webhook"="/validate-compute-azure-com-v1beta20201201-virtualmachinescaleset" "UID"="15a48bf0-f068-45c9-9198-e7b57b09215f" "allowed"=true
2022/10/19 23:16:58 http: TLS handshake error from 10.244.0.5:52314: EOF
2022/10/19 23:16:58 http: TLS handshake error from 10.244.0.5:52318: EOF
I1019 23:16:58.502977       1 http.go:97] controller-runtime/webhook/webhooks "msg"="received request" "webhook"="/mutate-network-azure-com-v1beta20201101-virtualnetwork" "UID"="c5918b74-ccf7-4e20-834b-5a077c8df836" "kind"={"group":"network.azure.com","version":"v1beta20201101","kind":"VirtualNetwork"} "resource"={"group":"network.azure.com","version":"v1beta20201101","resource":"virtualnetworks"}
I1019 23:16:58.503177       1 http.go:136] controller-runtime/webhook/webhooks "msg"="wrote response" "code"=200 "reason"="" "webhook"="/mutate-network-azure-com-v1beta20201101-virtualnetwork" "UID"="c5918b74-ccf7-4e20-834b-5a077c8df836" "allowed"=true
I1019 23:16:58.514908       1 http.go:97] controller-runtime/webhook/webhooks "msg"="received request" "webhook"="/validate-network-azure-com-v1beta20201101-virtualnetwork" "UID"="246857a9-99c2-457f-a927-a1daae6f0d84" "kind"={"group":"network.azure.com","version":"v1beta20201101","kind":"VirtualNetwork"} "resource"={"group":"network.azure.com","version":"v1beta20201101","resource":"virtualnetworks"}
I1019 23:16:58.515300       1 http.go:136] controller-runtime/webhook/webhooks "msg"="wrote response" "code"=200 "reason"="" "webhook"="/validate-network-azure-com-v1beta20201101-virtualnetwork" "UID"="246857a9-99c2-457f-a927-a1daae6f0d84" "allowed"=true
I1019 23:16:59.264835       1 azure_generic_arm_reconciler_instance.go:286] controllers/VirtualMachineScaleSetController "msg"="Resource creation failure" "azureName"="iacvmss" "name"="iacvmss" "namespace"="vmss" "error"="PUT https://management.azure.com/subscriptions/d19dddf3-9520-4226-a313-ae8ee08675e5/resourceGroups/aso-vmss-rg/providers/Microsoft.Compute/virtualMachineScaleSets/iacvmss\n--------------------------------------------------------------------------------\nRESPONSE 404: 404 Not Found\nERROR CODE: PlatformImageNotFound\n--------------------------------------------------------------------------------\n{\n  \"error\": {\n    \"code\": \"PlatformImageNotFound\",\n    \"message\": \"The platform image 'Canonical:UbuntuServer:20.04-lts:latest' is not available. Verify that all fields in the storage profile are correct. For more details about storage profile information, please refer to https://aka.ms/storageprofile\",\n    \"target\": \"imageReference\"\n  }\n}\n--------------------------------------------------------------------------------\n" "resourceID"="/subscriptions/d19dddf3-9520-4226-a313-ae8ee08675e5/resourceGroups/aso-vmss-rg/providers/Microsoft.Compute/virtualMachineScaleSets/iacvmss"
E1019 23:16:59.264909       1 azure_generic_arm_reconciler_instance.go:71] controllers/VirtualMachineScaleSetController "msg"="Error during CreateOrUpdate" "error"="The platform image 'Canonical:UbuntuServer:20.04-lts:latest' is not available. Verify that all fields in the storage profile are correct. For more details about storage profile information, please refer to https://aka.ms/storageprofile: PUT https://management.azure.com/subscriptions/d19dddf3-9520-4226-a313-ae8ee08675e5/resourceGroups/aso-vmss-rg/providers/Microsoft.Compute/virtualMachineScaleSets/iacvmss\n--------------------------------------------------------------------------------\nRESPONSE 404: 404 Not Found\nERROR CODE: PlatformImageNotFound\n--------------------------------------------------------------------------------\n{\n  \"error\": {\n    \"code\": \"PlatformImageNotFound\",\n    \"message\": \"The platform image 'Canonical:UbuntuServer:20.04-lts:latest' is not available. Verify that all fields in the storage profile are correct. For more details about storage profile information, please refer to https://aka.ms/storageprofile\",\n    \"target\": \"imageReference\"\n  }\n}\n--------------------------------------------------------------------------------\n" "azureName"="iacvmss" "name"="iacvmss" "namespace"="vmss" "action"="BeginCreateOrUpdate"
E1019 23:16:59.264945       1 generic_controller.go:500] controllers/VirtualMachineScaleSetController "msg"="Encountered error impacting Ready condition" "error"="The platform image 'Canonical:UbuntuServer:20.04-lts:latest' is not available. Verify that all fields in the storage profile are correct. For more details about storage profile information, please refer to https://aka.ms/storageprofile: PUT https://management.azure.com/subscriptions/d19dddf3-9520-4226-a313-ae8ee08675e5/resourceGroups/aso-vmss-rg/providers/Microsoft.Compute/virtualMachineScaleSets/iacvmss\n--------------------------------------------------------------------------------\nRESPONSE 404: 404 Not Found\nERROR CODE: PlatformImageNotFound\n--------------------------------------------------------------------------------\n{\n  \"error\": {\n    \"code\": \"PlatformImageNotFound\",\n    \"message\": \"The platform image 'Canonical:UbuntuServer:20.04-lts:latest' is not available. Verify that all fields in the storage profile are correct. For more details about storage profile information, please refer to https://aka.ms/storageprofile\",\n    \"target\": \"imageReference\"\n  }\n}\n--------------------------------------------------------------------------------\n" "name"="iacvmss" "namespace"="vmss" 
I1019 23:16:59.265261       1 recorder.go:103] events "msg"="Warning"  "message"="The platform image 'Canonical:UbuntuServer:20.04-lts:latest' is not available. Verify that all fields in the storage profile are correct. For more details about storage profile information, please refer to https://aka.ms/storageprofile: PUT https://management.azure.com/subscriptions/d19dddf3-9520-4226-a313-ae8ee08675e5/resourceGroups/aso-vmss-rg/providers/Microsoft.Compute/virtualMachineScaleSets/iacvmss\n--------------------------------------------------------------------------------\nRESPONSE 404: 404 Not Found\nERROR CODE: PlatformImageNotFound\n--------------------------------------------------------------------------------\n{\n  \"error\": {\n    \"code\": \"PlatformImageNotFound\",\n    \"message\": \"The platform image 'Canonical:UbuntuServer:20.04-lts:latest' is not available. Verify that all fields in the storage profile are correct. For more details about storage profile information, please refer to https://aka.ms/storageprofile\",\n    \"target\": \"imageReference\"\n  }\n}\n--------------------------------------------------------------------------------\n" "object"={"kind":"VirtualMachineScaleSet","namespace":"vmss","name":"iacvmss","uid":"cfdf478a-8612-427f-a85f-3c1ce090a8f3","apiVersion":"compute.azure.com/v1beta20220301storage","resourceVersion":"29844"} "reason"="CreateOrUpdateActionError"
E1019 23:16:59.299521       1 generic_controller.go:231] controllers/VirtualMachineScaleSetController "msg"="error during reconcile" "error"="updating resource error: updating vmss/iacvmss resource: Operation cannot be fulfilled on virtualmachinescalesets.compute.azure.com \"iacvmss\": the object has been modified; please apply your changes to the latest version and try again" "name"="iacvmss" "namespace"="vmss" 
I1019 23:16:59.299665       1 common.go:55] controllers/VirtualMachineScaleSetController "msg"="Reconcile invoked" "name"="iacvmss" "namespace"="vmss" "annotations"={} "conditions"="[Condition [Ready], Status = \"False\", ObservedGeneration = 4, Severity = \"Warning\", Reason = \"PlatformImageNotFound\", Message = \"The platform image 'Canonical:UbuntuServer:20.04-lts:latest' is not available. Verify that all fields in the storage profile are correct. For more details about storage profile information, please refer to https://aka.ms/storageprofile: PUT https://management.azure.com/subscriptions/d19dddf3-9520-4226-a313-ae8ee08675e5/resourceGroups/aso-vmss-rg/providers/Microsoft.Compute/virtualMachineScaleSets/iacvmss\\n--------------------------------------------------------------------------------\\nRESPONSE 404: 404 Not Found\\nERROR CODE: PlatformImageNotFound\\n--------------------------------------------------------------------------------\\n{\\n  \\\"error\\\": {\\n    \\\"code\\\": \\\"PlatformImageNotFound\\\",\\n    \\\"message\\\": \\\"The platform image 'Canonical:UbuntuServer:20.04-lts:latest' is not available. Verify that all fields in the storage profile are correct. For more details about storage profile information, please refer to https://aka.ms/storageprofile\\\",\\n    \\\"target\\\": \\\"imageReference\\\"\\n  }\\n}\\n--------------------------------------------------------------------------------\\n\", LastTransitionTime = \"2022-10-19 23:06:32 +0000 UTC\"]" "creationTimestamp"="2022-10-19T22:39:53Z" "finalizers"=null "generation"=5 "kind"={"kind":"VirtualMachineScaleSet","apiVersion":"compute.azure.com/v1beta20220301storage"} "owner"={"group":"resources.azure.com","kind":"ResourceGroup","name":"aso-vmss-rg"} "ownerReferences"=null "resourceVersion"="31171" "uid"="cfdf478a-8612-427f-a85f-3c1ce090a8f3"
2022/10/19 23:16:59 http: TLS handshake error from 10.244.0.6:59668: EOF
I1019 23:17:00.341491       1 common.go:55] controllers/VirtualMachineScaleSetController "msg"="Reconcile invoked" "name"="iacvmss" "namespace"="vmss" "annotations"={"serviceoperator.azure.com/operator-namespace":"azureserviceoperator-system"} "conditions"="[Condition [Ready], Status = \"False\", ObservedGeneration = 4, Severity = \"Warning\", Reason = \"PlatformImageNotFound\", Message = \"The platform image 'Canonical:UbuntuServer:20.04-lts:latest' is not available. Verify that all fields in the storage profile are correct. For more details about storage profile information, please refer to https://aka.ms/storageprofile: PUT https://management.azure.com/subscriptions/d19dddf3-9520-4226-a313-ae8ee08675e5/resourceGroups/aso-vmss-rg/providers/Microsoft.Compute/virtualMachineScaleSets/iacvmss\\n--------------------------------------------------------------------------------\\nRESPONSE 404: 404 Not Found\\nERROR CODE: PlatformImageNotFound\\n--------------------------------------------------------------------------------\\n{\\n  \\\"error\\\": {\\n    \\\"code\\\": \\\"PlatformImageNotFound\\\",\\n    \\\"message\\\": \\\"The platform image 'Canonical:UbuntuServer:20.04-lts:latest' is not available. Verify that all fields in the storage profile are correct. For more details about storage profile information, please refer to https://aka.ms/storageprofile\\\",\\n    \\\"target\\\": \\\"imageReference\\\"\\n  }\\n}\\n--------------------------------------------------------------------------------\\n\", LastTransitionTime = \"2022-10-19 23:06:32 +0000 UTC\"]" "creationTimestamp"="2022-10-19T22:39:53Z" "finalizers"=null "generation"=5 "kind"={"kind":"VirtualMachineScaleSet","apiVersion":"compute.azure.com/v1beta20220301storage"} "owner"={"group":"resources.azure.com","kind":"ResourceGroup","name":"aso-vmss-rg"} "ownerReferences"=null "resourceVersion"="31182" "uid"="cfdf478a-8612-427f-a85f-3c1ce090a8f3"
